epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,72.5157,0.86326,0.98889,1,0.03521,0.000332853,0.000332853,0.000332853
2,141.997,0.18151,0.99556,1,0.01832,0.000659591,0.000659591,0.000659591
3,212.657,0.11647,1,1,0.01391,0.000979729,0.000979729,0.000979729
4,284.567,0.11169,0.99333,1,0.02015,0.0009703,0.0009703,0.0009703
5,355.04,0.08303,1,1,0.00746,0.0009604,0.0009604,0.0009604
6,425.977,0.0526,0.99778,1,0.00451,0.0009505,0.0009505,0.0009505
7,496.933,0.04684,1,1,0.00281,0.0009406,0.0009406,0.0009406
8,574.147,0.0466,1,1,0.00164,0.0009307,0.0009307,0.0009307
9,650.901,0.04258,1,1,0.00234,0.0009208,0.0009208,0.0009208
10,727.627,0.03689,1,1,0.00144,0.0009109,0.0009109,0.0009109
11,804.431,0.03203,1,1,0.00078,0.000901,0.000901,0.000901
12,881.039,0.03375,0.99778,1,0.00555,0.0008911,0.0008911,0.0008911
13,951.851,0.03107,0.99778,1,0.00238,0.0008812,0.0008812,0.0008812
14,1022.55,0.02485,1,1,0.00182,0.0008713,0.0008713,0.0008713
15,1094.69,0.02343,1,1,0.00048,0.0008614,0.0008614,0.0008614
16,1171.78,0.018,1,1,0.00043,0.0008515,0.0008515,0.0008515
17,1250.16,0.02033,1,1,0.00058,0.0008416,0.0008416,0.0008416
18,1328.82,0.02254,1,1,0.00117,0.0008317,0.0008317,0.0008317
19,1407.08,0.02201,1,1,0.00047,0.0008218,0.0008218,0.0008218
20,1486.8,0.01747,1,1,0.00021,0.0008119,0.0008119,0.0008119
21,1565.54,0.02191,1,1,0.00046,0.000802,0.000802,0.000802
22,1644.19,0.03058,1,1,0.00136,0.0007921,0.0007921,0.0007921
23,1722.74,0.01698,1,1,0.00203,0.0007822,0.0007822,0.0007822
